"job_type","dag_id","task_name","exec_seq","load_option","source_table","target_table","pk_column","column_mapping","source_file_type","csv_file_delimiter","source_file_encoding","source_file_dir","source_pre_cmd","target_pre_sql","target_post_sql","input_param","config_option","create_dt","update_dt","disable_dt","stg_drop_yn","enable_yn"
DAILY,DYNAMIC_FILE_TO_POSTGRES_ETL_META_2,TASK2,2,ui,customer_$$P_BASE_YM.csv,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",csv,|,utf-8,/home/ajnam/airflow/source/,"","","","{""$$P_BASE_DT"":""20260726"",""$$P_START_DT"":""20260701"",""$$P_END_DT"":""20260726"",""$$P_START_TM"":""20260727172627"",""$$P_END_TM"":""20260727172832"",""$$P_BEF_MAX_DT"":""20260630"",""$$P_MAX_DT"":""20260731"",""$$P_BASE_YM"":""202607""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
DAILY,DYNAMIC_ODBC_FILE_TO_ORACLE_ETL_META_2,TASK1,1,ui,customer_$$P_BASE_DT.csv,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",csv,|,utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260318"",""$$P_START_DT"":""20260318"",""$$P_END_DT"":""20260318"",""$$P_START_TM"":""20260318000000"",""$$P_END_TM"":""20260318235959"",""$$P_BEF_MAX_DT"":""20260228"",""$$P_MAX_DT"":""20260331""}","{""TARGET_DRIVER_TYPE"":""ODBC"",""TARGET_CONN_NAME"":""ORACLE23C_ODBC_CONN"",""TARGET_DB_TYPE"":""ORACLE"",""TARGET_DB_HOST"":""ORACLE23C"",""SOURCE_DB_PORT"":""1521""}","20260315",,"20991231",Y,Y
DAILY,DYNAMIC_ODBC_FILE_TO_ORACLE_ETL_META_2,TASK2,2,ui,company_$$P_BASE_DT.json,company_t,"COMPANY_ID,COMPANY_NAME","{""company_id"":""company_id"",""company_name"":""company_name"",""create_at"":""create_at""}",json,"",utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260318"",""$$P_START_DT"":""20260318"",""$$P_END_DT"":""20260318"",""$$P_START_TM"":""20260318000000"",""$$P_END_TM"":""20260318235959"",""$$P_BEF_MAX_DT"":""20260228"",""$$P_MAX_DT"":""20260331""}","{""TARGET_DRIVER_TYPE"":""ODBC"",""TARGET_CONN_NAME"":""ORACLE23C_ODBC_CONN"",""TARGET_DB_TYPE"":""ORACLE"",""TARGET_DB_HOST"":""ORACLE23C"",""SOURCE_DB_PORT"":""1521""}","20260315",,"20991231",Y,Y
MINUTE,DYNAMIC_ODBC_FILE_TO_ORACLE_ETL_META_3,TASK1,1,ui,customer_$$P_BASE_DT.json,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",json,"",utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260504"",""$$P_START_DT"":""20260504"",""$$P_END_DT"":""20260504"",""$$P_START_TM"":""20260505230011"",""$$P_END_TM"":""20260505230638"",""$$P_BEF_MAX_DT"":""20260430"",""$$P_MAX_DT"":""20260531""}","{""TARGET_DRIVER_TYPE"":""ODBC"",""TARGET_CONN_NAME"":""ORACLE23C_ODBC_CONN"",""TARGET_DB_TYPE"":""ORACLE"",""TARGET_DB_HOST"":""ORACLE23C"",""SOURCE_DB_PORT"":""1521""}","20260315",,"20991231",Y,Y
MINUTE,DYNAMIC_FILE_TO_POSTGRES_ETL_META_3,TASK1,1,ui,company_$$P_BASE_DT.json,company_t,"COMPANY_ID,COMPANY_NAME","{""company_id"":""company_id"",""company_name"":""company_name"",""create_at"":""create_at""}",json,"",utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260505"",""$$P_START_DT"":""20260505"",""$$P_END_DT"":""20260505"",""$$P_START_TM"":""20260506000412"",""$$P_END_TM"":""20260506000614"",""$$P_BEF_MAX_DT"":""20260430"",""$$P_MAX_DT"":""20260531""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
DAILY,DYNAMIC_FILE_TO_POSTGRES_ETL_META_2,TASK1,1,ui,company_$$P_BASE_DT.json,company_t,"COMPANY_ID,COMPANY_NAME","{""company_id"":""company_id"",""company_name"":""company_name"",""create_at"":""create_at""}",json,"",utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260318"",""$$P_START_DT"":""20260318"",""$$P_END_DT"":""20260318"",""$$P_START_TM"":""20260318000000"",""$$P_END_TM"":""20260318235959"",""$$P_BEF_MAX_DT"":""20260228"",""$$P_MAX_DT"":""20260331""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
MINUTE,DYNAMIC_FILE_TO_POSTGRES_ETL_META_3,TASK2,2,ui,customer_$$P_BASE_DT.csv,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",csv,|,utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260505"",""$$P_START_DT"":""20260505"",""$$P_END_DT"":""20260505"",""$$P_START_TM"":""20260506000414"",""$$P_END_TM"":""20260506000616"",""$$P_BEF_MAX_DT"":""20260430"",""$$P_MAX_DT"":""20260531""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
DAILY,DYNAMIC_SALES_POSTGRES_TO_POSTGRES_ETL,TASK1,1,ui,company_$$P_BASE_DT.json,company_t,"COMPANY_ID,COMPANY_NAME","{""company_id"":""company_id"",""company_name"":""company_name"",""create_at"":""create_at""}",json,"",utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260318"",""$$P_START_DT"":""20260318"",""$$P_END_DT"":""20260318"",""$$P_START_TM"":""20260318000000"",""$$P_END_TM"":""20260318235959"",""$$P_BEF_MAX_DT"":""20260228"",""$$P_MAX_DT"":""20260331""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
DAILY,DYNAMIC_SALES_POSTGRES_TO_POSTGRES_ETL,TASK2,2,ui,customer_$$P_BASE_DT.csv,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",csv,|,utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260318"",""$$P_START_DT"":""20260318"",""$$P_END_DT"":""20260318"",""$$P_START_TM"":""20260318000000"",""$$P_END_TM"":""20260318235959"",""$$P_BEF_MAX_DT"":""20260228"",""$$P_MAX_DT"":""20260331""}","{""TARGET_DRIVER_TYPE"":""POSTGRESHOOK"",""TARGET_CONN_NAME"":""postgres_conn"",""TARGET_DB_TYPE"":""POSTGRES"",""TARGET_DB_HOST"":""LOCALHOST"",""SOURCE_DB_PORT"":""5432""}","20260315",,"20991231",Y,Y
MINUTE,DYNAMIC_ODBC_FILE_TO_ORACLE_ETL_META_3,TASK2,2,ui,customer_$$P_BASE_DT.csv,customer_t,"CUSTOMER_ID,CUSTOMER_NAME","{""customer_id"":""customer_id"",""customer_name"":""customer_name"",""create_at"":""create_at""}",csv,|,utf-8,/opt/airflow/source,touch a > /opt/airflow/source/pre_cmd.txt,"","","{""$$P_BASE_DT"":""20260504"",""$$P_START_DT"":""20260504"",""$$P_END_DT"":""20260504"",""$$P_START_TM"":""20260505230014"",""$$P_END_TM"":""20260505230640"",""$$P_BEF_MAX_DT"":""20260430"",""$$P_MAX_DT"":""20260531""}","{""TARGET_DRIVER_TYPE"":""ODBC"",""TARGET_CONN_NAME"":""ORACLE23C_ODBC_CONN"",""TARGET_DB_TYPE"":""ORACLE"",""TARGET_DB_HOST"":""ORACLE23C"",""SOURCE_DB_PORT"":""1521""}","20260315",,"20991231",Y,Y
